Frame Number,Total non-masked faces,Total masked faces,Non-masked Face ROIs,Masked Face ROIs
1,0,1,,"323,72,35,39"
2,0,0,,
3,0,0,,
4,0,3,,"382,66,34,37;24,48,53,59;187,74,32,35"
5,0,3,,"383,66,34,38;23,47,55,62;186,73,33,36"
6,0,3,,"322,70,38,40;25,46,51,57;185,73,33,36"
7,0,3,,"322,70,38,42;23,47,51,57;185,72,33,37"
8,0,2,,"322,70,37,40;24,46,48,55"
9,0,2,,"322,69,36,39;23,46,48,53"
10,0,2,,"384,63,35,38;22,45,47,52"
11,0,3,,"104,70,37,41;384,63,36,38;21,45,46,51"
12,0,4,,"76,53,38,43;103,70,37,40;385,62,35,39;19,45,46,51"
13,0,4,,"76,52,38,44;102,70,37,41;385,62,35,39;18,45,46,52"
14,0,3,,"75,52,39,44;386,62,35,38;16,44,46,52"
15,0,3,,"75,52,39,44;386,61,36,39;14,43,46,51"
16,0,3,,"75,53,39,44;387,61,35,39;11,43,48,52"
17,0,3,,"74,53,40,44;387,61,36,39;10,44,48,53"
18,0,3,,"74,53,39,44;387,62,36,39;8,44,49,54"
19,0,3,,"74,54,39,43;388,62,35,39;8,43,47,53"
20,0,4,,"182,71,33,36;74,54,39,43;389,62,35,39;7,43,47,52"
21,0,4,,"182,72,33,36;74,55,39,44;389,63,36,38;6,44,47,52"
22,0,4,,"182,72,33,36;75,56,38,43;389,63,36,39;5,44,46,52"
23,1,4,"99,67,36,37","181,73,34,38;74,57,38,43;390,63,35,39;4,45,47,54"
24,0,4,,"181,73,34,37;74,58,38,42;390,64,36,39;1,45,47,53"
25,0,4,,"181,73,35,39;73,58,38,43;391,65,35,38;0,45,46,53"
26,0,3,,"73,58,38,43;391,65,36,39;0,48,45,56"
27,0,2,,"72,59,39,43;392,66,36,39"
28,0,2,,"72,59,38,43;392,66,36,40"
29,0,2,,"71,59,39,43;393,66,36,40"
30,0,2,,"71,58,39,44;393,67,37,40"
31,0,1,,"69,58,40,44"
32,0,1,,"69,57,40,45"
33,0,1,,"69,57,40,45"
34,0,1,,"69,56,40,45"
35,0,2,,"398,65,35,39;68,55,41,45"
36,0,2,,"398,65,35,39;68,55,40,44"
37,0,2,,"399,64,35,40;68,54,40,44"
38,0,2,,"399,64,36,39;68,53,40,44"
39,0,2,,"399,63,36,39;68,52,40,44"
40,0,1,,"68,52,40,44"
41,0,2,,"182,67,34,39;68,51,40,44"
42,0,2,,"182,67,34,38;68,51,40,44"
43,0,2,,"182,67,33,37;68,51,39,44"
44,0,2,,"182,67,33,36;69,51,38,44"
45,0,2,,"181,67,34,37;69,51,39,44"
46,0,2,,"181,67,34,37;68,52,40,44"
47,0,3,,"401,61,36,40;181,67,33,37;68,53,40,44"
48,0,3,,"402,61,36,38;181,67,33,37;68,53,40,45"
49,0,2,,"402,62,36,39;180,67,34,38"
50,0,3,,"293,44,39,45;402,62,36,40;179,68,34,37"
51,0,4,,"101,65,36,40;292,43,41,47;402,62,36,39;179,68,34,37"
52,0,3,,"100,64,37,40;403,62,35,40;178,68,35,37"
53,0,3,,"68,58,40,45;100,63,37,41;403,63,35,39"
54,0,3,,"67,58,41,46;100,63,37,40;404,64,35,39"
